categoria,email
Packaging,"From. Hotman <hotman@signahusada.com> 
Sent. Monday. June 10. 2019 5.14 PM
Cc. 'Yandi' <Yandi.Kusuma@signahusada.com>. 'Stephen JK' <stephen.jk@signahusada.com>. veronika.lani@signahusada.com. 'Rani - SH' <rani@signahusada.com>. irma.luluy@signahusada.com. desriko@signahusada.com. viensen@signahusada.com. SIGNA HUSADA - JEREMY <jeremy.yunias@signahusada.com>. Signa Husada - Teguh <teguh@signahusada.com>. Signa Husada - Rika <admin.sales@signahusada.com>. 'Fitri' <fitri@signahusada.com>. hotman@signahusada.com
Subject. [EXTERNAL] Minor printing change on the Maize Starch B bag packaging
"
Packaging,"From. 삼광켐 <sk@samkwang-chem.com> 
Sent. Friday. December 21. 2018 1.27 PM
To. Jang. Sang Jin (SJ) [CONKRSE] <sjang9@ITS.JNJ.com>
Cc. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>. Bae. Dong Jin (Dennis) [CONKRSE] <dbae1@its.jnj.com>
Subject. [EXTERNAL] RE. [SamkwangChem]Change of packing unit / Oleon_Radia 7104 

Hi.

I made mis-spell with my previous mail. please refer to this mail

We didn’t get notified any change of packing material at this moment.
This manufacture tend to change their packing unit with same drum.
We are also waiting for official letter. once we get it we will share it with you.

Thanks!
Sally Park.

From. 삼광켐 [mailto.sk@samkwang-chem.com] 
Sent. Friday. December 21. 2018 4.55 PM
To. 'Jang. Sang Jin (SJ) [CONKRSE]' <sjang9@ITS.JNJ.com>
Cc. 'Raw Material Center Quality' <RA-CONUS-RawMatCente@ITS.JNJ.com>. 'Bae. Dong Jin (Dennis) [CONKRSE]' <dbae1@ITS.JNJ.COM>
Subject. RE. [SamkwangChem]Change of packing unit / Oleon_Radia 7104 

Hi.

We didn’t get notified any change of packing material at this moment.
This manufacture tend to change their packing unit with sample drum.
We are also waiting for official letter. once we get it we will share it with you.

Thanks!
Sally Park.


From. Jang. Sang Jin (SJ) [CONKRSE] [mailto.sjang9@ITS.JNJ.com] 
Sent. Friday. December 21. 2018 4.05 PM
To. 삼광켐 <sk@samkwang-chem.com>
Cc. Raw Material Center Quality <RA-CONUS-RawMatCente@ITS.JNJ.com>. Bae. Dong Jin (Dennis) [CONKRSE] <dbae1@ITS.JNJ.COM>
Subject. Re. [SamkwangChem]Change of packing unit / Oleon_Radia 7104 

Hi Sally. 

I’m very happy to see that you have immediately and properly followed our process. Well noted and we will start change process accordingly.

Can you please also confirm if the packaging type will be remained at the same with current 190kg? If not. you need to provide the packaging instruction (hope you can get it from manufacturer) and we may will ask you to provide the some stability data result.
Regards. sent from my iPhone

2018. 12. 21. 오후 3.55. 삼광켐 <sk@samkwang-chem.com> 작성.
Hi.
 
This is Sally Park from Samkwang chem Korea. just got below mail and recently we have the case could be applied your guideline.
Oleon_Radia 7104 is supplied by Samkwang-chem. and it’s packing unit is 190kg. 
But we were informed that the packing unit is going to be changed as 195kg.
Currently 3.800kg stock (190kg packing) is available for you. after this stock we will supply as 195kg. 
We already informed to Jina-Song by mail. hope you are aware of this change.
 
<image001.jpg>
Thanks and best regards.
 
(주) 삼광켐 
Sales / Assistant Manager

박 지 혜
Sally PARK

Phone +82)10-9944-1819 
Tel +82)31-8057-3053 
Fax +82)70-7589-1018 
E-mail . sk@samkwang-chem.com 

Samkwang Chemical Corp. 
1005. Complex B-dong. Heungdeok IT Valley. 
13. Heungdeok 1-ro. Giheung-gu. Yongin-si. Gyeonggi-do. Republic of Korea 
 
"
Packaging,"From. Anderson Song <Anderson.Song@clariant.com> 
Sent. Sunday. March 3. 2019 2.21 PM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@ITS.JNJ.com>
Cc. Maggie Yao <Maggie.Yao@clariant.com>. Bao. Karol [CONCN] <KBAO@its.jnj.com>
Subject. [EXTERNAL] Clariant product Nipaguard IPF - available package type change from 19KG to 200KG - effective from March 1st 2019
Importance. High

Dear J&J quality team.

I’m very sorry to inform you that current Clariant product Nipaguard IPF. which provide to J&J China OEM plant. 
INCI name PEG-4 LAURATE & IODOPROPYNYL BUTYLCARBAMATE will change minimized package size from 19 KG to 200 KG.

This change will effective from 2019.03.01. 

Myself Anderson Song who is representing Clariant to J&J China for commercial part. got this package change message from USA plant 7 days ago.

According to forecast shared by J&J China OEM plant. current stock in J&J China site will cover to 2019 July. Four months later.

There is no quality change of product. The 200KG package is also mature commercial type long ago.

I request your immediate and necessary actions to evaluate or qualify the new 200KG package Nipaguard IPF.

Please share your comments and any necessary document need to avoid stop production for J&J China OEM plant. due to possible delay of qualification.

Thanks a lot.

Clariant Chemical China LTD

Anderson Song

Best Regards.

Anderson Song

Phone. +86 21 2248 3418. Mobile phone. +86 134 7282 4260. Email. anderson.song@clariant.com. 
Post Address. Clariant Chemicals (China) Co.. Ltd.. 6th floor. No. 2. Lane 168. Linhong Road. Changning District. 200335 Shanghai. China
"
Packaging,"From. Anna Gerke <ang@interharz.de> 
Sent. Tuesday. February 5. 2019 2.39 PM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>
Cc. Bernhard Gruben <bg@interharz.de>. Ingrid Peters <ip@interharz.de>. Daniela Taubenheim <dt@interharz.de>
Subject. [EXTERNAL] Info 19044 Annoucement - Puricolor Yellow AYE 23 FDA - Switch of Packaging (our Art. 11817)

Annoucement - Puricolor Yellow AYE 23 FDA - Switch of Packaging


Dear Sirs. 

please be informed that there is a change in packaging for material PURICOLOR YELLOW AYE 23 FDA ( our Mat. No. 11817) to Fiberboard boxes with PE-Inliner by end of 2. Quarter of 2019.

Please see information attached.

If you have any further questions. please feel free to contact us.

Thank you.

With best regards.

Anna Gerke

INTER-HARZ GmbH
"
Packaging,"From. Liza Mixiou <liza.mixiou@elton-group.com> 
Sent. Thursday. March 28. 2019 12.21 PM
To. Irini Diapouli <irini.diapouli@elton-group.com>. Tolis. Ioannis [CONGR] <itolis@its.jnj.com>
Cc. Eleni Lisgara <eleni.lisgara@elton-group.com>. Elton Logistics Athens <logistics.athens@elton-group.com>. Milesis. Dimitrios [CONGR] <dmilesis@its.jnj.com>. Kontomarkos. Dimitris [CONGR] <DKontoma@its.jnj.com>. Kypriadi. Maria [CONGR] <mkypriad@ITS.JNJ.com>
Subject. [EXTERNAL] RE. 001617 - PERFUME 1662G Mod.38C
 
Καλημέρα σας 
Θα θελαμε να σας ενημερωσουμε για την απαντηση της IFF οσο αφορα το προιον 001617. Παρότι  όπως θα δειτε παρακατω εμεις ζητησαμε επανειλημενα  συσκευασια των 100κιλων που είναι αποδεκτη από σας . ο οικος επιμενει ότι το σωστο γέμισμα είναι συσκευασια των 110 κιλων .
Παρακαλω δεστε την αλληλογραφια και ενημερωστε μας πως θελετε να προχωρησουμε.
 
Ευχαριστω
 
 
 
Dear Irini.
 
It seems the production is already released and almost completed for material 1662 G MOD 38C (110 kgs). 
If we were to repack into 100 kgs delivery date may be impacted. Let me check internally. 
 
Please be informed that the fill sizes for this material  1662 G MOD 38C is 205 / 110 / 57 / 28 kgs per drum.   
We always recommend the customer to order as per available drum size as we fill our drums to a certain level following latest regulations and safety instructions. keeping quality. safety and sustainability in mind.
 
Quality.  The headspace in a drum. which over time can cause oxidation of the fragrance. is kept to a minimum.
Safety.  Keeping the headspace to a minimum reduces possible sloshing (weight shifting) during transportation.
Sustainability.  Less waist (packaging) per shipped kilogram. less transport per shipped kilogram.
 
Thank you for your reconsideration. I am looking forward to receiving your reply how you wish to proceed. 
 
Dear Marleen.
We can’t accept the packaging of 110kg because JnJ doesn’t have 110kg package approved!! Their approved packages are 25. 75 & 100kg
I fully understand your point but please just send us 1 drum of 100kg. 
 
Best regards
 
Irini Diapouli
Imports-Exports Dept.
Direct line. +30 2295306014
e-mail. irini.diapouli@elton-group.com
ELTON INTERNATIONAL TRADING COMPANY S.A.
Draseza Place. Industrial Park Avlona  190 11 Avlona Attica . Greece 
tel. +302295029350| fax. +302295029305 |www.elton-group.com
              
ELTON Group of Companies         
          
Greece| Bulgaria| Romania| Serbia| Ukraine| Turkey
 
 
Dear Irini.
 
I’ve booked the order. IFF reference is 1005564330. Please note that I’ve increased item 2 from 100 kg into 110 kg. In this case the maximum filling for this fragrance is 1*110 kg. Therefore we prefer to fill the drum till 110 kg. due to safety and the quality of the material. 
I hope this will not be a problem for you. Could you please confirm and update your order to 1*110 kg.
 
Many thanks. 
 
Kind Regards.
Marleen van Beers
"
Packaging,"From. Anna Ruiz <aruiz@ashland.com> 
Sent. Friday. December 07. 2018 6.08 PM
To. Tolis. Ioannis [CONGR] <itolis@its.jnj.com>. Marguiller. Stephanie [CONFR] <smarguil@its.jnj.com>
Cc. Info.France/Tadworth/Ashland <info.france@ashland.com>. Benedicte Longuet <blonguet@ashland.com>. Joanna Romanowicz <jromanowicz@ashland.com>. Dorota Makowska <dorota.makowska@ashland.com>
Subject. [EXTERNAL] ASHLAND CUSTOMER NOTIFICATION - Drum weight change - Antaron V-220F

Dear Ioannis and Stéphanie.
 
Please find attached notification letter about drum weight change on Antaron V-220F.
 
Please share this communication internally to whom corresponds in your organization.
 
If I can be of any further assistance regarding this matter. please do not hesitate to contact me.
 
Many thanks and best regards.
______________________________
Anna Ruiz
Business Support Consumer Industries
 
Ashland Specialties Hispania. S.L.
Carretera Reial 137-139
08960 Sant Just Desvern. Spain
"
Packaging,"From. Meghan Rushing <meghan.rushing@basf.com> 
Sent. Friday. November 2. 2018 7.12 PM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>. Meuse. Derek [VISUS] <DMeuse@its.jnj.com>
Cc. Samantha H Leible <samantha.hetherington@basf.com>. DANIEL RINCO TONIETTI <daniel.tonietti@basf.com>. Glasiela Lemos Anconi Passos <glasiela.passos@basf.com>. Chris Tan <xueyuchris.tan@basf.com>. Guido Baumoeller <guido.baumoeller@basf.com>. Livio Graziano Budroni <livio.budroni@basf.com>
Subject. [EXTERNAL] Bisabolol Rac - Change in Packaging Spec

Hello.

Please see attached communication concerning the 5kg packaging for Bisabolol Rac.  

The filling weight will remain the same as well as the quality. product specification. and all other product characteristics.  

Should you have any questions. please reach out directly to me.

Thanks.

Meghan

Dr. Meghan Rushing
Global Technical Key Account Manager

Phone. +1 914 785-3817. Mobile. +1-845-743-3837. Email. meghan.rushing@basf.com
Postal Address. BASF Corporation . . 500 White Plains Road. 10591 Tarrytown. United States
 
BASF Corporation

"
Packaging,"From. Meghan Rushing <meghan.rushing@basf.com> 
Sent. Wednesday. October 17. 2018 6.53 AM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>. Meuse. Derek [VISUS] <DMeuse@its.jnj.com>
Cc. Samantha H Leible <samantha.hetherington@basf.com>. Guido Baumoeller <guido.baumoeller@basf.com>. Chris Tan <xueyuchris.tan@basf.com>. Glasiela Lemos Anconi Passos <glasiela.passos@basf.com>
Subject. [EXTERNAL] EDETA New Packaging and Pallet Size

Hello.

Please see attached communication concerning our EDETA products.  As well. I have included the new packaging specifications.

Should you have any additional questions. please reach out directly to me.

Thanks.

Meghan

Dr. Meghan Rushing
Global Technical Key Account Manager

Phone. +1 914 785-3817. Mobile. +1-845-743-3837. Email. meghan.rushing@basf.com
Postal Address. BASF Corporation . . 500 White Plains Road. 10591 Tarrytown. United States
 
BASF Corporation
"
Packaging,"From. Anna Gerke <ang@interharz.de> 
Sent. Wednesday. February 20. 2019 2.08 PM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>
Cc. Ingrid Peters <ip@interharz.de>
Subject. [EXTERNAL] Info 19059 Changes in packaging material IBC Art. 11795 & Art. 12085

Material no. 11795. your mat. no. RMT0217. PURAC FCC 80%
Material no. 12085. your mat. no. RMT0542. PURASAL S HQ 60


Dear Sirs. 

please find attached information about two changes in following packaging material from Purac Biochem BV.

- Transport container ECOBULK 1000 litres Foodcert FSSC ( IBC) 1P0005

It affects material PURAC FCC 80% and PURASAL S HQ 60.

With best regards. 

Anna Gerke

INTER-HARZ GmbH
"
Packaging,"From. Lew Jackson <lew.jackson@jostchemical.com> 
Sent. Monday. February 18. 2019 2.57 PM
To. Steve R. Clark <SRclark@KIKCORP.com>
Subject. Fwd. Jost Code 2591-Packaging Change

  This mail originated from outside our organization - Lew Jackson . lew.jackson@jostchemical.com 
This message contains unscannable attachments that could not be verified
virus free. Open only if you were expecting this message.
Hello Steve. 

Please see the below message.  Feel free to call me with any questions.

Thanks.
Lew Jackson
Regional Sales Manager
Jost Chemical
www.jostchemical.com
Mobile.  304-989-3053

Sent from my iPhone

Begin forwarded message.
From. Lew Jackson <lew.jackson@jostchemical.com>
Date. February 18. 2019 at 2.49.06 PM EST
To. ""khaushalter@kikcorp.com"" <khaushalter@kikcorp.com>
Subject. Jost Code 2591-Packaging Change
Hello Kirsten.
 
Jost will be making a packaging change to Jost Code 2591. Magnesium Sulfate Dried.  We are changing from a 110 LB Fiber Drum to a 55 LB Carton/Box.  The same liner is being used. so the stability of the product will not change.
 
Please respond back stating that you have received this message.
 
Let me know if you have any questions.
 
Thanks for the business.
 
   
 
 
Lew Jackson | Regional Sales Manager-Eastern U.S. & Puerto Rico
From. Lew Jackson <lew.jackson@jostchemical.com> 
Sent. Monday. February 18. 2019 2.57 PM
To. Steve R. Clark <SRclark@KIKCORP.com>
Subject. Fwd. Jost Code 2591-Packaging Change

  This mail originated from outside our organization - Lew Jackson . lew.jackson@jostchemical.com 
This message contains unscannable attachments that could not be verified
virus free. Open only if you were expecting this message.
Hello Steve. 

Please see the below message.  Feel free to call me with any questions.

Thanks.
Lew Jackson
Regional Sales Manager
Jost Chemical
www.jostchemical.com
Mobile.  304-989-3053

Sent from my iPhone

Begin forwarded message.
From. Lew Jackson <lew.jackson@jostchemical.com>
Date. February 18. 2019 at 2.49.06 PM EST
To. ""khaushalter@kikcorp.com"" <khaushalter@kikcorp.com>
Subject. Jost Code 2591-Packaging Change
Hello Kirsten.
 
Jost will be making a packaging change to Jost Code 2591. Magnesium Sulfate Dried.  We are changing from a 110 LB Fiber Drum to a 55 LB Carton/Box.  The same liner is being used. so the stability of the product will not change.
 
Please respond back stating that you have received this message.
 
Let me know if you have any questions.
 
Thanks for the business.
 
   
 
 
Lew Jackson | Regional Sales Manager-Eastern U.S. & Puerto Rico
"
